"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000223972",0,0,1,8,2,3
"ENSG00000227232",55,52,60,72,85,90
"ENSG00000278267",0,2,1,5,1,3
"ENSG00000268020",0,0,0,4,0,0
"ENSG00000240361",0,0,0,9,0,0
"ENSG00000186092",0,0,0,3,0,0
"ENSG00000238009",3,0,0,19,0,2
"ENSG00000233750",0,1,0,1,0,2
"ENSG00000268903",2,2,3,6,12,4
"ENSG00000269981",0,0,2,2,4,0
"ENSG00000241860",10,8,6,14,10,6
"ENSG00000222623",0,0,0,1,2,1
"ENSG00000279928",0,2,2,2,1,1
"ENSG00000279457",48,47,107,66,93,44
"ENSG00000228463",4,2,3,21,17,28
"ENSG00000236679",0,1,0,2,0,1
"ENSG00000237094",18,33,18,47,46,17
"ENSG00000250575",0,0,1,0,0,1
"ENSG00000278757",1,4,1,0,2,0
"ENSG00000230021",4,4,3,9,13,3
"ENSG00000225972",0,0,0,2,0,10
"ENSG00000225630",1,1,1,2,1,5
"ENSG00000237973",74,116,154,161,88,123
"ENSG00000229344",3,8,5,7,9,5
"ENSG00000248527",29,17,46,99,32,73
"ENSG00000198744",12,15,13,11,6,14
"ENSG00000268663",0,1,1,0,0,0
"ENSG00000229376",2,0,3,5,0,1
"ENSG00000228327",58,79,66,114,137,58
"ENSG00000223181",0,1,0,2,2,4
"ENSG00000229905",1,1,0,2,1,0
"ENSG00000237491",150,182,113,346,218,182
"ENSG00000230092",23,18,24,35,41,21
"ENSG00000177757",65,42,34,37,103,36
"ENSG00000228794",440,409,475,528,1218,552
"ENSG00000225880",24,26,17,20,43,25
"ENSG00000288531",1,0,1,0,1,0
"ENSG00000230368",0,0,2,2,0,0
"ENSG00000272438",1,3,0,0,5,1
"ENSG00000230699",4,0,1,2,46,3
"ENSG00000223764",11,19,20,47,101,21
"ENSG00000187634",19,19,24,59,225,56
"ENSG00000188976",610,600,820,534,762,924
"ENSG00000187961",114,111,156,61,125,66
"ENSG00000187583",5,10,2,4,8,10
"ENSG00000187642",0,0,4,0,0,0
"ENSG00000272512",11,15,18,2,4,10
"ENSG00000188290",44,63,81,24,11,34
"ENSG00000187608",307,473,607,135,123,77
"ENSG00000224969",0,4,2,1,0,0
"ENSG00000188157",542,635,802,328,329,260
"ENSG00000217801",0,0,1,0,7,0
"ENSG00000273443",1,0,0,0,2,0
"ENSG00000131591",53,44,74,62,71,86
"ENSG00000285812",3,9,1,9,1,9
"ENSG00000198976",0,0,2,0,0,0
"ENSG00000272141",0,0,0,0,0,2
"ENSG00000186891",2,0,3,0,1,0
"ENSG00000186827",0,0,0,0,1,1
"ENSG00000078808",3846,4334,4336,3848,5250,2789
"ENSG00000176022",455,501,595,436,525,549
"ENSG00000184163",1,1,1,3,4,7
"ENSG00000260179",2,0,1,4,3,0
"ENSG00000160087",291,329,370,327,372,397
"ENSG00000230415",7,7,8,0,6,4
"ENSG00000162572",34,55,50,35,47,25
"ENSG00000131584",345,272,405,332,440,327
"ENSG00000169972",94,90,93,78,116,89
"ENSG00000127054",616,619,816,661,916,739
"ENSG00000240731",31,23,20,34,27,23
"ENSG00000224051",176,173,203,130,154,167
"ENSG00000169962",19,22,27,14,28,19
"ENSG00000107404",793,794,1101,446,868,579
"ENSG00000162576",4364,4704,5937,5314,6018,4035
"ENSG00000175756",487,504,599,329,503,551
"ENSG00000223663",0,0,0,0,0,3
"ENSG00000221978",3191,2992,3414,3652,3720,2904
"ENSG00000224870",200,171,198,138,175,190
"ENSG00000242485",495,520,605,382,591,641
"ENSG00000272455",11,20,13,27,14,31
"ENSG00000235098",24,17,14,40,132,46
"ENSG00000225905",0,0,0,2,5,3
"ENSG00000225285",0,1,1,4,1,1
"ENSG00000179403",12,16,24,57,100,64
"ENSG00000215915",5,3,6,14,18,10
"ENSG00000160072",169,138,232,165,206,230
"ENSG00000284740",10,5,11,6,1,3
"ENSG00000197785",256,259,338,179,254,469
"ENSG00000205090",13,12,20,13,22,5
"ENSG00000160075",1311,1282,1559,1152,1454,1458
"ENSG00000215014",14,5,10,11,5,15
"ENSG00000228594",38,35,54,56,34,33
"ENSG00000286989",1,1,0,2,7,4
"ENSG00000272106",28,52,23,32,58,34
"ENSG00000197530",464,413,676,306,476,300
"ENSG00000189409",0,0,0,0,2,0
"ENSG00000248333",370,329,399,532,546,499
"ENSG00000272004",1,1,0,2,5,2
"ENSG00000189339",897,817,927,1125,1179,918
"ENSG00000269737",53,66,66,47,46,45
"ENSG00000215914",0,2,3,4,1,0
"ENSG00000008128",32,26,29,54,36,41
"ENSG00000268575",58,63,69,70,57,14
"ENSG00000227775",8,13,12,7,5,7
"ENSG00000215790",300,265,270,352,340,224
"ENSG00000008130",899,973,1012,812,973,890
"ENSG00000078369",5287,5303,6551,4243,5285,5552
"ENSG00000231050",1,0,6,3,3,3
"ENSG00000169885",7,3,4,7,6,2
"ENSG00000178821",1,1,1,0,0,1
"ENSG00000142609",0,0,1,0,0,0
"ENSG00000067606",27,23,24,45,101,70
"ENSG00000271806",0,1,0,1,3,8
"ENSG00000182873",5,5,5,10,5,11
"ENSG00000162585",245,246,333,197,265,188
"ENSG00000234396",1,3,0,0,0,2
"ENSG00000157933",765,872,817,1501,937,1036
"ENSG00000287356",19,10,15,42,36,42
"ENSG00000116151",103,99,115,155,152,135
"ENSG00000272161",1,0,0,0,0,0
"ENSG00000269896",20,15,12,43,25,45
"ENSG00000272420",7,4,3,2,6,0
"ENSG00000157916",2868,2623,3170,1930,2945,2904
"ENSG00000157911",159,158,238,219,224,245
"ENSG00000149527",2,2,3,5,8,5
"ENSG00000157881",229,185,250,195,237,286
"ENSG00000272449",0,0,1,0,1,1
"ENSG00000238164",2,8,2,4,4,3
"ENSG00000157873",160,215,255,154,363,146
"ENSG00000225931",2,0,2,0,1,2
"ENSG00000228037",3,3,0,1,0,1
"ENSG00000157870",88,101,142,83,82,118
"ENSG00000142606",0,0,2,0,0,0
"ENSG00000215912",19,12,8,9,11,6
"ENSG00000177133",0,1,0,1,4,2
"ENSG00000142611",12,19,12,31,43,39
"ENSG00000226286",0,0,0,0,0,2
"ENSG00000279839",0,0,0,4,0,1
"ENSG00000272235",0,1,2,17,4,3
"ENSG00000287828",3,4,1,5,5,7
"ENSG00000286518",0,0,1,0,0,0
"ENSG00000130762",7,18,27,7,9,18
"ENSG00000272088",16,13,9,13,15,20
"ENSG00000162591",3935,4201,5072,2947,2765,2414
"ENSG00000238260",2,1,1,0,0,0
"ENSG00000158109",1066,1188,1370,994,1235,1238
"ENSG00000116213",149,138,222,194,209,141
"ENSG00000078900",3,1,4,1,2,3
"ENSG00000227589",0,0,0,0,0,1
"ENSG00000227372",364,359,458,410,445,444
"ENSG00000162592",1,0,0,0,6,0
"ENSG00000235169",3,1,11,7,25,6
"ENSG00000130764",673,586,708,634,965,860
"ENSG00000266075",0,1,1,0,0,0
"ENSG00000272153",10,16,18,16,37,18
"ENSG00000116198",1112,982,1051,925,1120,1079
"ENSG00000169598",69,48,77,75,81,99
"ENSG00000198912",266,298,350,402,410,475
"ENSG00000236423",13,11,17,9,16,13
"ENSG00000196581",7,5,9,1,1,10
"ENSG00000264101",0,0,1,0,0,0
"ENSG00000131697",204,187,233,242,217,249
"ENSG00000069424",110,129,149,134,238,171
"ENSG00000116254",6,2,3,10,8,13
"ENSG00000285629",0,0,0,5,1,0
"ENSG00000116251",1775,1629,1923,1862,2660,2300
"ENSG00000226944",3,1,5,0,0,2
"ENSG00000158286",166,141,192,148,258,114
"ENSG00000116237",2995,2944,3481,2796,3073,4808
"ENSG00000225077",0,1,0,0,3,1
"ENSG00000158292",42,22,42,140,170,112
"ENSG00000097021",369,415,498,238,375,372
"ENSG00000069812",0,0,2,0,0,1
"ENSG00000187017",0,1,1,0,1,1
"ENSG00000215788",21,24,15,24,23,12
"ENSG00000171680",104,104,121,115,142,55
"ENSG00000162408",840,710,871,1100,1207,1400
"ENSG00000253022",1,1,1,0,5,0
"ENSG00000229519",11,11,19,11,16,19
"ENSG00000173662",3,1,13,9,19,6
"ENSG00000204859",161,152,222,221,292,233
