"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000227232",132.666666666667,127.5,133.833333333333,130.333333333333,141.666666666667,153.416666666667
"ENSG00000241860",78.3333333333333,76.3333333333333,73.8333333333333,79.8333333333333,78.3333333333333,74.8333333333333
"ENSG00000279457",123.833333333333,121.666666666667,182.333333333333,124.333333333333,148.666666666667,109.5
"ENSG00000237094",89,105.666666666667,89,106.5,109,84.1666666666667
"ENSG00000237973",153.666666666667,199.5,227.166666666667,223.166666666667,144,183.166666666667
"ENSG00000248527",102.166666666667,86.8333333333333,119.833333333333,158.166666666667,97,137.5
"ENSG00000198744",81.3333333333333,84.1666666666667,82.6666666666667,77.5,74.8333333333333,81.5
"ENSG00000228327",136.333333333333,157.416666666667,139.666666666667,174.166666666667,184.083333333333,122.833333333333
"ENSG00000237491",238.666666666667,273,187.833333333333,421.166666666667,256.083333333333,237.166666666667
"ENSG00000230092",95.1666666666667,88,95.8333333333333,96,104.666666666667,88
"ENSG00000177757",143.916666666667,116,106.666666666667,97.8333333333333,157.166666666667,101.666666666667
"ENSG00000228794",550.5,527,543.666666666667,621.333333333333,1134.16666666667,579.833333333333
"ENSG00000225880",96.1666666666667,98,87.8333333333333,84.3333333333333,106.5,91.6666666666667
"ENSG00000223764",79.8333333333333,89.1666666666667,91.0833333333333,106.5,155.333333333333,88
"ENSG00000187634",90.1666666666667,89.1666666666667,95.8333333333333,118,262.333333333333,120.833333333333
"ENSG00000188976",733,735,890.833333333333,629.083333333333,729.666666666667,921
"ENSG00000187961",197.833333333333,193.5,229.333333333333,119.833333333333,174.166666666667,130.5
"ENSG00000272512",79.8333333333333,84.1666666666667,89,70.5,72.8333333333333,78.3333333333333
"ENSG00000188290",119,139.666666666667,154.833333333333,87.3333333333333,79.1666666666667,99.8333333333333
"ENSG00000187608",408.333333333333,593,678.333333333333,195.666666666667,172.333333333333,141.666666666667
"ENSG00000188157",659.5,776.166666666667,870.083333333333,401,352,311.333333333333
"ENSG00000131591",130.333333333333,118,147.666666666667,120.583333333333,129.5,149.083333333333
"ENSG00000078808",3993.16666666667,4676.16666666667,4410.16666666667,4219,4668.41666666667,2720.33333333333
"ENSG00000176022",565.333333333333,625.666666666667,664.333333333333,521.166666666667,522.333333333333,577
"ENSG00000160087",391.75,440.416666666667,437.5,399.666666666667,390.666666666667,435.666666666667
"ENSG00000162572",107.666666666667,130.5,123.833333333333,96,109.5,91.6666666666667
"ENSG00000131584",451.833333333333,375,474.5,405.666666666667,446.833333333333,372.5
"ENSG00000169972",175,170,168,135.666666666667,167.333333333333,152.5
"ENSG00000127054",741,755.083333333333,886.75,763.333333333333,867,749.833333333333
"ENSG00000240731",104.5,94.3333333333333,91.0833333333333,95.1666666666667,92.6666666666667,89.8333333333333
"ENSG00000224051",266.333333333333,262.5,275,190.833333333333,200.166666666667,224
"ENSG00000169962",90.1666666666667,93,98.8333333333333,79.8333333333333,93.5,86.1666666666667
"ENSG00000107404",919.75,943.75,1173,531.5,824.666666666667,606.166666666667
"ENSG00000162576",4496.5,5056.33333333333,5829,5896.5,5380.83333333333,4033.66666666667
"ENSG00000175756",598.416666666667,628.5,668.833333333333,402.333333333333,503.333333333333,578.833333333333
"ENSG00000221978",3345.16666666667,3289.16666666667,3509.16666666667,3960.5,3383.66666666667,2835.25
"ENSG00000224870",291.666666666667,260.5,269.166666666667,198.416666666667,219.583333333333,244.666666666667
"ENSG00000242485",607.166666666667,648.833333333333,675.833333333333,462.25,582.583333333333,660.833333333333
"ENSG00000272455",79.8333333333333,90.5,82.6666666666667,89.6666666666667,81.5,97
"ENSG00000235098",96.1666666666667,86.8333333333333,84,100.166666666667,179.666666666667,111.333333333333
"ENSG00000179403",81.3333333333333,85.5,95.8333333333333,115.833333333333,154.5,129
"ENSG00000160072",259,224,302.75,228.166666666667,246.666666666667,283.166666666667
"ENSG00000284740",78.3333333333333,72.8333333333333,79.8333333333333,73.8333333333333,69.6666666666667,71.6666666666667
"ENSG00000197785",353.166666666667,360.333333333333,406.333333333333,243.583333333333,287.5,502
"ENSG00000205090",82.6666666666667,80.6666666666667,91.0833333333333,79.1666666666667,88,73.8333333333333
"ENSG00000160075",1469.75,1478.41666666667,1640.83333333333,1280.66666666667,1341.33333333333,1436.66666666667
"ENSG00000215014",84,72.8333333333333,78.3333333333333,77.5,73.8333333333333,82.3333333333333
"ENSG00000228594",112.166666666667,108.166666666667,127.666666666667,115.166666666667,98.8333333333333,98.8333333333333
"ENSG00000272106",100.833333333333,127.5,94.5,93.6666666666667,119,99.8333333333333
"ENSG00000197530",575.833333333333,531.5,744.083333333333,376,476.833333333333,347.333333333333
"ENSG00000248333",478.166666666667,440.416666666667,468.5,626.666666666667,541.5,529.333333333333
"ENSG00000189339",1032.83333333333,970.25,997.166666666667,1250.75,1098.16666666667,915.166666666667
"ENSG00000269737",130.333333333333,142.333333333333,139.666666666667,106.5,109,110.333333333333
"ENSG00000008128",105.666666666667,98,101.333333333333,113.166666666667,100.5,106.666666666667
"ENSG00000268575",136.333333333333,139.666666666667,143.166666666667,128,118.166666666667,81.5
