"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-let-7a-2-3p ",134,134,131,103,92,130
"hsa-let-7a-3p ",404,332,583,41,482,256
"hsa-let-7a-5p ",196841,202293,248830,97068,208851,188798
"hsa-let-7b-3p ",387,387,397,253,339,308
"hsa-let-7b-5p ",95874,124723,85204,299158,71329,157007
"hsa-let-7c-3p ",66,88,100,48,293,96
"hsa-let-7c-5p ",18330,23666,17142,46451,35142,34214
"hsa-let-7d-3p ",742,798,758,735,671,1011
"hsa-let-7d-5p ",4802,5184,5342,4637,4868,6553
"hsa-let-7e-3p ",132,125,142,51,119,96
"hsa-let-7e-5p ",9732,10219,11002,5465,7814,9318
"hsa-let-7f-1-3p ",30,22,44,14,40,26
"hsa-let-7f-2-3p ",21,29,33,6,24,28
"hsa-let-7f-5p ",97162,82526,160625,22214,146211,78978
"hsa-let-7g-3p ",1,8,3,16,0,3
"hsa-let-7g-5p ",65305,64782,87105,19362,80627,68835
"hsa-let-7i-3p ",420,484,380,296,409,540
"hsa-let-7i-5p ",449265,493190,473099,339658,451129,660817
"hsa-miR-1-3p ",334,239,443,104,242,354
"hsa-miR-100-3p ",29,30,34,7,43,48
"hsa-miR-100-5p ",701170,775749,801414,391398,558072,679663
"hsa-miR-101-2-5p ",0,0,0,1,0,0
"hsa-miR-101-3p ",4391,5277,3768,7157,8046,9555
"hsa-miR-101-5p ",0,2,1,4,0,3
"hsa-miR-10394-5p ",0,0,1,0,0,0
"hsa-miR-10395-3p ",9,22,3,8,6,10
"hsa-miR-10396a-5p ",0,0,0,0,0,1
"hsa-miR-10396b-5p ",0,0,0,1,0,1
"hsa-miR-10397-5p ",1,0,0,0,0,0
"hsa-miR-10399-3p ",1,3,2,2,2,3
"hsa-miR-10399-5p ",12,15,13,4,8,11
"hsa-miR-103a-1-5p ",0,0,0,0,0,1
"hsa-miR-103a-2-5p ",3,4,3,14,5,7
"hsa-miR-103a-3p ",24775,27232,25460,10993,20442,24321
"hsa-miR-103b ",24775,27232,25460,10993,20442,24321
"hsa-miR-10401-3p ",0,1,0,2,0,2
"hsa-miR-105-5p ",0,0,0,0,0,1
"hsa-miR-10523-5p ",0,1,0,0,0,0
"hsa-miR-10526-3p ",6,2,1,2,0,1
"hsa-miR-10527-5p ",25,27,25,49,5,21
"hsa-miR-106a-5p ",7,10,8,6,3,14
"hsa-miR-106b-3p ",1199,1591,1008,2713,878,2274
"hsa-miR-106b-5p ",439,600,361,858,426,1073
"hsa-miR-107 ",1571,1690,1610,546,1375,1991
"hsa-miR-10a-3p ",1146,1202,1309,283,1324,1484
"hsa-miR-10a-5p ",59177,59898,72069,29045,85700,67883
"hsa-miR-10b-3p ",183,211,186,441,576,767
"hsa-miR-10b-5p ",12996,12847,15033,22682,59873,47438
"hsa-miR-11399 ",1,0,0,0,0,0
"hsa-miR-1179 ",0,0,0,4,0,0
"hsa-miR-1180-3p ",252,274,206,666,192,495
"hsa-miR-1180-5p ",0,0,1,1,0,0
"hsa-miR-1185-1-3p ",531,625,558,132,409,434
"hsa-miR-1185-2-3p ",210,205,203,33,169,128
"hsa-miR-1185-5p ",25,15,42,0,30,13
"hsa-miR-1193 ",1,5,1,14,4,1
"hsa-miR-1197 ",33,29,44,1,23,14
"hsa-miR-12136 ",28,71,19,123,10,59
