"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000102693",2,0,0,0,0,0
"ENSMUSG00000051951",6,4,2,0,47,37
"ENSMUSG00000102851",0,0,0,0,0,1
"ENSMUSG00000103377",0,0,2,0,8,6
"ENSMUSG00000104017",0,0,0,2,0,2
"ENSMUSG00000103025",0,0,0,0,0,3
"ENSMUSG00000103201",0,0,0,0,1,2
"ENSMUSG00000103147",0,0,0,0,3,0
"ENSMUSG00000103161",0,0,0,0,6,12
"ENSMUSG00000102331",0,0,0,0,18,32
"ENSMUSG00000102343",7,17,12,6,4,2
"ENSMUSG00000025900",0,0,0,2,0,1
"ENSMUSG00000025902",76,56,14,26,8,16
"ENSMUSG00000104238",0,0,0,1,0,2
"ENSMUSG00000102269",6,30,2,8,0,0
"ENSMUSG00000096126",4,2,2,0,2,0
"ENSMUSG00000098104",58,50,44,42,34,26
"ENSMUSG00000102175",1,8,0,4,0,0
"ENSMUSG00000103265",3,12,0,4,0,2
"ENSMUSG00000103922",308,255,300,347,255,192
"ENSMUSG00000033845",14433,9907,14684,14531,14997,11352
"ENSMUSG00000102275",99,82,124,106,120,115
"ENSMUSG00000025903",5241,3410,4741,5018,3811,2708
"ENSMUSG00000033813",7305,5093,6284,6675,6619,5032
"ENSMUSG00000062588",6,1,11,18,11,8
"ENSMUSG00000103280",12,43,11,29,20,9
"ENSMUSG00000002459",19,22,35,38,60,102
"ENSMUSG00000091305",0,0,2,0,0,0
"ENSMUSG00000102653",0,4,4,0,0,2
"ENSMUSG00000085623",0,3,100,85,59,35
"ENSMUSG00000091665",0,0,5,2,0,1
"ENSMUSG00000033793",10662,7650,5874,6070,7646,5929
"ENSMUSG00000104352",0,0,0,0,2,0
"ENSMUSG00000104046",4,19,6,6,6,4
"ENSMUSG00000102907",0,0,2,4,2,0
"ENSMUSG00000025905",9,6,15,14,18,20
"ENSMUSG00000033774",0,0,2,0,0,0
"ENSMUSG00000025907",5258,4788,4949,4797,4858,3615
"ENSMUSG00000090031",96,66,80,111,71,74
"ENSMUSG00000087247",0,0,0,6,0,0
"ENSMUSG00000103845",12,30,44,32,12,4
"ENSMUSG00000033740",14,6,9,11,5,2
"ENSMUSG00000103329",6,0,0,0,0,0
"ENSMUSG00000104385",4,0,0,0,4,6
"ENSMUSG00000102135",22,19,20,18,31,14
"ENSMUSG00000102534",0,0,0,0,1,0
"ENSMUSG00000102213",0,0,6,4,0,0
"ENSMUSG00000103629",0,6,9,2,2,3
"ENSMUSG00000051285",8294,9609,6616,6296,4562,3695
"ENSMUSG00000098201",20,25,19,31,3,24
"ENSMUSG00000103509",661,1820,1045,976,492,601
"ENSMUSG00000048538",8,39,2,4,5,7
"ENSMUSG00000102768",0,0,0,0,6,0
"ENSMUSG00000097797",101,139,92,99,112,122
"ENSMUSG00000103067",62,186,111,114,0,6
"ENSMUSG00000102320",0,14,9,4,0,0
"ENSMUSG00000104226",8,54,8,11,1,0
"ENSMUSG00000103903",5,0,2,0,0,1
"ENSMUSG00000103557",0,0,2,0,0,0
"ENSMUSG00000025909",64,115,183,162,69,87
"ENSMUSG00000102647",0,0,0,2,2,0
"ENSMUSG00000086235",2,0,2,0,3,0
"ENSMUSG00000102253",2,0,2,4,2,0
"ENSMUSG00000084353",14,6,13,12,23,14
"ENSMUSG00000103933",12,1,2,1,4,5
"ENSMUSG00000076135",3,0,0,0,2,1
"ENSMUSG00000066693",1,0,0,1,0,2
"ENSMUSG00000103819",0,2,0,0,0,0
