"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000025902",116.833333333333,95.3333333333333,51.8333333333333,69.8333333333333,55.5,64.8333333333333
"ENSMUSG00000098104",101.666666666667,89.9166666666667,85,87.1666666666667,81.1666666666667,74.8333333333333
"ENSMUSG00000103922",283.333333333333,277.833333333333,342,410.5,333,296.5
"ENSMUSG00000033845",11528.1666666667,10208,14889.3333333333,15431.6666666667,14718.3333333333,13848.1666666667
"ENSMUSG00000102275",136.5,119.5,165.666666666667,156,173,183
"ENSMUSG00000025903",3870.83333333333,3391.5,4770.83333333333,5288.83333333333,4151.5,3671.33333333333
"ENSMUSG00000033813",5596.16666666667,5107.66666666667,6329.33333333333,7045,6911.16666666667,6499.16666666667
"ENSMUSG00000002459",67,65.6666666666667,75.6666666666667,83,107.166666666667,166.833333333333
"ENSMUSG00000085623",45.6666666666667,49.1666666666667,140.666666666667,133.666666666667,106.166666666667,85
"ENSMUSG00000033793",8372.33333333333,7833.33333333333,5883.83333333333,6346.66666666667,7915,7584.5
"ENSMUSG00000025907",3881.5,4821.83333333333,4979.25,5063.41666666667,5219.08333333333,4811
"ENSMUSG00000090031",134.166666666667,104.333333333333,121,161.166666666667,118.833333333333,131.416666666667
"ENSMUSG00000103845",60.3333333333333,72.5,85,76.6666666666667,59.3333333333333,52.6666666666667
"ENSMUSG00000102135",69.6666666666667,63.1666666666667,56.6666666666667,61.5,77.8333333333333,62.5
"ENSMUSG00000051285",6369,9862.66666666667,6640.33333333333,6614.75,4941.16666666667,4897.16666666667
"ENSMUSG00000098201",67.8333333333333,68.3333333333333,54.8333333333333,75.6666666666667,49.3333333333333,72.6666666666667
"ENSMUSG00000103509",520.5,1803.66666666667,1083.58333333333,1071.33333333333,615.833333333333,885.333333333333
"ENSMUSG00000097797",138.166666666667,172.166666666667,131.833333333333,148.333333333333,163,193.666666666667
"ENSMUSG00000103067",105.166666666667,211.916666666667,151,164.75,45.6666666666667,54.8333333333333
"ENSMUSG00000025909",106.666666666667,150,226,218.333333333333,116.666666666667,147.166666666667
"ENSMUSG00000061024",5553.33333333333,4690.33333333333,5891.16666666667,5183.5,6663.25,5180.66666666667
