"","ID","Chrom","Start","Stop","Strand","Name"
"ENSMUSG00000025902","ENSMUSG00000025902","chr1",4490931,4497354,"-","Sox17"
"ENSMUSG00000098104","ENSMUSG00000098104","chr1",4687934,4689403,"-","Gm6085"
"ENSMUSG00000103922","ENSMUSG00000103922","chr1",4771131,4772199,"+","Gm6123"
"ENSMUSG00000033845","ENSMUSG00000033845","chr1",4773206,4785739,"-","Mrpl15"
"ENSMUSG00000102275","ENSMUSG00000102275","chr1",4778063,4779212,"-","Gm37144"
"ENSMUSG00000025903","ENSMUSG00000025903","chr1",4807788,4848410,"+","Lypla1"
"ENSMUSG00000033813","ENSMUSG00000033813","chr1",4857814,4897909,"+","Tcea1"
"ENSMUSG00000002459","ENSMUSG00000002459","chr1",4909576,5070285,"-","Rgs20"
"ENSMUSG00000085623","ENSMUSG00000085623","chr1",4970857,4976820,"+","Gm16041"
"ENSMUSG00000033793","ENSMUSG00000033793","chr1",5070018,5162529,"+","Atp6v1h"
"ENSMUSG00000025907","ENSMUSG00000025907","chr1",6206197,6276648,"+","Rb1cc1"
"ENSMUSG00000090031","ENSMUSG00000090031","chr1",6209866,6215293,"-","4732440D04Rik"
"ENSMUSG00000103845","ENSMUSG00000103845","chr1",6429655,6441296,"-","Gm19026"
"ENSMUSG00000102135","ENSMUSG00000102135","chr1",6916559,6923588,"+","Gm37108"
"ENSMUSG00000051285","ENSMUSG00000051285","chr1",7088920,7173628,"+","Pcmtd1"
"ENSMUSG00000098201","ENSMUSG00000098201","chr1",7136199,7136586,"-","Gm26983"
"ENSMUSG00000103509","ENSMUSG00000103509","chr1",7148110,7152137,"+","Gm38372"
"ENSMUSG00000097797","ENSMUSG00000097797","chr1",7349406,7397869,"-","Gm26901"
"ENSMUSG00000103067","ENSMUSG00000103067","chr1",7497968,7518149,"+","Gm30414"
"ENSMUSG00000025909","ENSMUSG00000025909","chr1",8361475,9299878,"-","Sntg1"
"ENSMUSG00000061024","ENSMUSG00000061024","chr1",9545408,9547455,"+","Rrs1"
"ENSMUSG00000025911","ENSMUSG00000025911","chr1",9547948,9580673,"+","Adhfe1"
"ENSMUSG00000025912","ENSMUSG00000025912","chr1",9667415,9700209,"-","Mybl1"
"ENSMUSG00000045210","ENSMUSG00000045210","chr1",9718622,9748382,"-","Vcpip1"
"ENSMUSG00000097893","ENSMUSG00000097893","chr1",9747648,9791924,"+","1700034P13Rik"
"ENSMUSG00000025915","ENSMUSG00000025915","chr1",9798107,9900845,"+","Sgk3"
"ENSMUSG00000046101","ENSMUSG00000046101","chr1",9908638,9942085,"+","Mcmdc2"
"ENSMUSG00000098234","ENSMUSG00000098234","chr1",9941959,9944118,"-","Snhg6"
"ENSMUSG00000093178","ENSMUSG00000093178","chr1",9942463,9942549,"-","Snord87"
"ENSMUSG00000099032","ENSMUSG00000099032","chr1",9960163,9967932,"-","Tcf24"
"ENSMUSG00000025917","ENSMUSG00000025917","chr1",10024601,10038168,"-","Cops5"
"ENSMUSG00000056763","ENSMUSG00000056763","chr1",10037987,10136768,"+","Cspp1"
"ENSMUSG00000067851","ENSMUSG00000067851","chr1",10137571,10232670,"-","Arfgef1"
"ENSMUSG00000102556","ENSMUSG00000102556","chr1",10197081,10198802,"-","Gm37569"
"ENSMUSG00000100212","ENSMUSG00000100212","chr1",10805281,10806522,"+","Gm5522"
"ENSMUSG00000048960","ENSMUSG00000048960","chr1",10993465,11303681,"+","Prex2"
"ENSMUSG00000057715","ENSMUSG00000057715","chr1",11414105,11975901,"+","A830018L16Rik"
"ENSMUSG00000103825","ENSMUSG00000103825","chr1",11416918,11419388,"+","Gm38178"
"ENSMUSG00000016918","ENSMUSG00000016918","chr1",12692277,12861192,"+","Sulf1"
"ENSMUSG00000025938","ENSMUSG00000025938","chr1",12866549,12992650,"-","Slco5a1"
"ENSMUSG00000069620","ENSMUSG00000069620","chr1",13062025,13062345,"+","Gm5250"
"ENSMUSG00000099498","ENSMUSG00000099498","chr1",13068838,13078662,"+","Gm29283"
"ENSMUSG00000042414","ENSMUSG00000042414","chr1",13113457,13127163,"-","Prdm14"
"ENSMUSG00000005886","ENSMUSG00000005886","chr1",13139105,13374083,"-","Ncoa2"
"ENSMUSG00000103506","ENSMUSG00000103506","chr1",13177462,13179714,"-","Gm38376"
"ENSMUSG00000103085","ENSMUSG00000103085","chr1",13343563,13348204,"-","Gm38120"
"ENSMUSG00000102664","ENSMUSG00000102664","chr1",13354483,13356730,"-","Gm38380"
"ENSMUSG00000025935","ENSMUSG00000025935","chr1",13564698,13589910,"-","Tram1"
"ENSMUSG00000025937","ENSMUSG00000025937","chr1",13623330,13660546,"-","Lactb2"
"ENSMUSG00000102982","ENSMUSG00000102982","chr1",13641483,13642748,"-","Gm38319"
"ENSMUSG00000097711","ENSMUSG00000097711","chr1",13785883,13786879,"-","Gm5523"
"ENSMUSG00000025932","ENSMUSG00000025932","chr1",14168954,14310235,"-","Eya1"
"ENSMUSG00000054493","ENSMUSG00000054493","chr1",14752937,14776931,"+","Gm9947"
"ENSMUSG00000025930","ENSMUSG00000025930","chr1",14753346,14755992,"-","Msc"
"ENSMUSG00000032769","ENSMUSG00000032769","chr1",14872648,14918862,"-","Trpa1"
"ENSMUSG00000025925","ENSMUSG00000025925","chr1",15805646,15844052,"+","Terf1"
"ENSMUSG00000104379","ENSMUSG00000104379","chr1",15853331,15856499,"+","Gm37509"
"ENSMUSG00000032719","ENSMUSG00000032719","chr1",15853862,15892722,"-","Sbspon"
"ENSMUSG00000043716","ENSMUSG00000043716","chr1",16101295,16104662,"-","Rpl7"
"ENSMUSG00000025921","ENSMUSG00000025921","chr1",16105774,16133734,"+","Rdh10"
"ENSMUSG00000025920","ENSMUSG00000025920","chr1",16228674,16520112,"-","Stau2"
"ENSMUSG00000025939","ENSMUSG00000025939","chr1",16540790,16619489,"-","Ube2w"
"ENSMUSG00000102457","ENSMUSG00000102457","chr1",16618560,16621539,"+","Gm38342"
"ENSMUSG00000079658","ENSMUSG00000079658","chr1",16641725,16657042,"-","Eloc"
"ENSMUSG00000025940","ENSMUSG00000025940","chr1",16665207,16678275,"+","Tmem70"
"ENSMUSG00000025779","ENSMUSG00000025779","chr1",16688051,16709611,"+","Ly96"
"ENSMUSG00000091020","ENSMUSG00000091020","chr1",16768279,16770138,"-","Gm5828"
"ENSMUSG00000042686","ENSMUSG00000042686","chr1",16964560,17097889,"-","Jph1"
"ENSMUSG00000100398","ENSMUSG00000100398","chr1",17394958,17395429,"+","Gm5251"
"ENSMUSG00000101589","ENSMUSG00000101589","chr1",17397412,17400281,"-","Rbm6-ps1"
"ENSMUSG00000025776","ENSMUSG00000025776","chr1",17727045,17766344,"+","Crispld1"
"ENSMUSG00000100720","ENSMUSG00000100720","chr1",19153422,19153966,"-","Gm10075"
"ENSMUSG00000043760","ENSMUSG00000043760","chr1",20057779,20618064,"-","Pkhd1"
"ENSMUSG00000041872","ENSMUSG00000041872","chr1",20777146,20790617,"-","Il17f"
"ENSMUSG00000041859","ENSMUSG00000041859","chr1",20802968,20820312,"-","Mcm3"
"ENSMUSG00000025931","ENSMUSG00000025931","chr1",20890606,20939650,"+","Paqr8"
"ENSMUSG00000041809","ENSMUSG00000041809","chr1",20951626,20990841,"+","Efhc1"
"ENSMUSG00000041779","ENSMUSG00000041779","chr1",20996299,21079229,"-","Tram2"
"ENSMUSG00000025933","ENSMUSG00000025933","chr1",21218575,21230167,"+","Tmem14a"
"ENSMUSG00000102633","ENSMUSG00000102633","chr1",21234722,21236821,"+","Gm38224"
"ENSMUSG00000025934","ENSMUSG00000025934","chr1",21240589,21265661,"+","Gsta3"
"ENSMUSG00000099343","ENSMUSG00000099343","chr1",21250359,21271593,"-","Gm28836"
"ENSMUSG00000082935","ENSMUSG00000082935","chr1",21511933,21513056,"-","Gm7658"
"ENSMUSG00000041670","ENSMUSG00000041670","chr1",22286251,22805994,"-","Rims1"
"ENSMUSG00000097970","ENSMUSG00000097970","chr1",23291537,23291935,"+","Gm27028"
"ENSMUSG00000026158","ENSMUSG00000026158","chr1",23366424,23397772,"-","Ogfrl1"
"ENSMUSG00000026156","ENSMUSG00000026156","chr1",23761753,23849158,"+","B3gat2"
"ENSMUSG00000026155","ENSMUSG00000026155","chr1",23844846,23922317,"-","Smap1"
"ENSMUSG00000026154","ENSMUSG00000026154","chr1",23995939,24005656,"-","Sdhaf4"
"ENSMUSG00000026153","ENSMUSG00000026153","chr1",24011093,24100341,"-","Fam135a"
"ENSMUSG00000099997","ENSMUSG00000099997","chr1",24594087,24595423,"-","Tubb4b-ps2"
"ENSMUSG00000101939","ENSMUSG00000101939","chr1",24612775,24613119,"-","Gm28438"
"ENSMUSG00000101111","ENSMUSG00000101111","chr1",24613189,24613971,"-","Gm28437"
"ENSMUSG00000101249","ENSMUSG00000101249","chr1",24615706,24616197,"-","Gm29216"
"ENSMUSG00000073725","ENSMUSG00000073725","chr1",24678630,24766301,"+","Lmbrd1"
"ENSMUSG00000099492","ENSMUSG00000099492","chr1",29484604,29485915,"-","Gm5525"
"ENSMUSG00000048874","ENSMUSG00000048874","chr1",30802339,30873921,"-","Phf3"
"ENSMUSG00000103783","ENSMUSG00000103783","chr1",30833548,30836431,"-","Gm37522"
"ENSMUSG00000104315","ENSMUSG00000104315","chr1",30865504,30868538,"-","Gm37906"
"ENSMUSG00000026064","ENSMUSG00000026064","chr1",30940302,30949309,"-","Ptp4a1"
"ENSMUSG00000117091","ENSMUSG00000117091","chr1",30977243,30977968,"-","Gm5698"
"ENSMUSG00000086726","ENSMUSG00000086726","chr1",30986225,30986953,"-","Gm9458"
"ENSMUSG00000086727","ENSMUSG00000086727","chr1",30997842,31222684,"-","4931428L18Rik"
"ENSMUSG00000094215","ENSMUSG00000094215","chr1",31286945,31287640,"+","Gm6489"
"ENSMUSG00000026134","ENSMUSG00000026134","chr1",33453810,33669795,"-","Prim2"
"ENSMUSG00000102714","ENSMUSG00000102714","chr1",33613758,33616832,"-","Gm37618"
"ENSMUSG00000004768","ENSMUSG00000004768","chr1",33719887,33742564,"+","Rab23"
"ENSMUSG00000042215","ENSMUSG00000042215","chr1",33745484,33757795,"-","Bag2"
"ENSMUSG00000042197","ENSMUSG00000042197","chr1",33761545,33814595,"-","Zfp451"
"ENSMUSG00000081402","ENSMUSG00000081402","chr1",33836124,33838680,"-","Gm15455"
"ENSMUSG00000042182","ENSMUSG00000042182","chr1",33852052,33907816,"-","Bend6"
"ENSMUSG00000026131","ENSMUSG00000026131","chr1",33908225,34308661,"+","Dst"
"ENSMUSG00000103364","ENSMUSG00000103364","chr1",34032100,34033797,"+","Gm38157"
"ENSMUSG00000096992","ENSMUSG00000096992","chr1",34165856,34178446,"-","Gm26788"
"ENSMUSG00000103001","ENSMUSG00000103001","chr1",34269882,34271128,"-","A930005N03Rik"
"ENSMUSG00000102336","ENSMUSG00000102336","chr1",34427002,34433264,"-","Gm37233"
