"","SRR7624381","SRR7624384","SRR7624386"
"chr1:3670554-3671576",668.186666666667,559.593333333333,935.486666666667
"chr1:3671137-3671526",435.246666666667,378.44,594.26
"chr1:3671661-3672619",711.653333333333,542.966666666667,885.906666666667
"chr1:4491597-4493835",2633.73333333333,1740.20666666667,1931.61333333333
"chr1:4497135-4497659",371.986666666667,239.233333333333,371.096666666667
"chr1:4571240-4572295",1149.24666666667,945.286666666667,928.58
"chr1:4784054-4786353",4699.44,4473.76666666667,4253.74
"chr1:4801475-4802564",361.96,417.92,385.54
"chr1:4807286-4809274",3153.46,3709.08666666667,3271.41333333333
"chr1:4825614-4826673",257.54,440.53,308.67
"chr1:4851404-4852415",467.533333333333,503.956666666667,628.506666666667
"chr1:4856994-4859136",3524.72666666667,4016.33333333333,3454.06666666667
"chr1:4880719-4881938",256.766666666667,345.38,418.626666666667
"chr1:4947021-4947771",472.293333333333,443.166666666667,353.94
"chr1:5018109-5020705",1302.4,1402.85333333333,2318.72666666667
"chr1:5082830-5084419",2672.39333333333,2186.89,2109.92
"chr1:5170178-5170987",323.073333333333,292.74,402.356666666667
"chr1:5588255-5589304",393.08,261.52,382.026666666667
"chr1:5916345-5917987",839.7,553.04,604.543333333333
"chr1:6213916-6215688",3446.92666666667,3234.47333333333,2949.71333333333
"chr1:6358783-6359693",658.32,521.153333333333,558.593333333333
"chr1:6382507-6383477",683.04,492.413333333333,557.473333333333
"chr1:6440968-6441855",442.08,391.886666666667,478.363333333333
"chr1:6517356-6518567",325.033333333333,393.756666666667,368.18
"chr1:7088120-7088794",1250.3,1266.86,889.88
"chr1:7088918-7090720",3537.08,3507.44,2932.33333333333
"chr1:7125684-7126006",332.97,376.96,343.1
"chr1:7128503-7129958",1576.26,1799.98666666667,1291.00666666667
"chr1:7205982-7207069",525.886666666667,508.013333333333,546.863333333333
"chr1:7271371-7272387",886.146666666667,711.766666666667,627.756666666667
"chr1:7397005-7398904",2750.48,2024.52666666667,2119.76666666667
"chr1:7398133-7398870",998.193333333333,858.753333333333,874.466666666667
"chr1:7476978-7477514",276.426666666667,337.54,415.536666666667
"chr1:8925175-8926033",425.066666666667,435.406666666667,346.16
"chr1:8936301-8937605",1689.65333333333,1750.53333333333,1345.86
"chr1:8938807-8939303",703.613333333333,619.56,395.14
"chr1:9298611-9300312",1002.21333333333,952.2,1097.22
"chr1:9544681-9546717",4638.15333333333,4774.22,5332.66666666667
"chr1:9546932-9547342",551.713333333333,593.76,503.92
"chr1:9547158-9547505",478.273333333333,465.72,463.093333333333
"chr1:9548036-9548490",622.933333333333,545.613333333333,483.72
"chr1:9699202-9701408",3150.26,3728.02,3859.92666666667
"chr1:9700518-9701408",1219.20666666667,1344.42333333333,1572.28666666667
